4.1.5	2019-04-24T23:58:21.720000+00:00
6.0.0-beta.1	2019-05-01T07:21:33.456000+00:00
3.1.9	2019-05-01T18:28:15.232000+00:00
4.2.0	2019-05-03T03:23:54.844000+00:00
5.0.1	2019-05-04T05:11:00.829000+00:00
6.0.0-beta.2	2019-05-08T05:16:15.609000+00:00
4.2.1	2019-05-14T21:17:51.590000+00:00
6.0.0-beta.3	2019-05-14T22:24:23.807000+00:00
4.2.2	2019-05-17T02:16:01.826000+00:00
6.0.0-beta.4	2019-05-21T21:20:41.195000+00:00
5.0.2	2019-05-23T15:26:08.158000+00:00
3.1.10	2019-05-29T16:31:37.579000+00:00
6.0.0-beta.5	2019-05-29T19:35:32.142000+00:00
4.2.3	2019-05-31T04:13:27.081000+00:00
6.0.0-beta.6	2019-06-05T00:15:57.316000+00:00
4.2.4	2019-06-05T22:25:55.344000+00:00
3.1.11	2019-06-06T18:06:20.517000+00:00
5.0.3	2019-06-07T21:32:23.024000+00:00
6.0.0-beta.7	2019-06-11T22:22:48.469000+00:00
6.0.0-beta.8	2019-06-14T21:06:33.663000+00:00
5.0.4	2019-06-15T01:02:51.206000+00:00
6.0.0-beta.9	2019-06-18T23:18:29.526000+00:00
5.0.5	2019-06-21T20:48:34.271000+00:00
4.2.5	2019-06-21T21:11:57.004000+00:00
6.0.0-beta.10	2019-06-22T00:54:35.613000+00:00
6.0.0-beta.11	2019-06-26T02:05:06.223000+00:00
5.0.6	2019-06-26T22:31:18.260000+00:00
4.2.6	2019-07-02T01:10:47.169000+00:00
6.0.0-beta.12	2019-07-04T01:35:31.040000+00:00
6.0.0-beta.13	2019-07-10T22:56:12.517000+00:00
3.1.12	2019-07-11T16:50:35.555000+00:00
4.2.7	2019-07-16T17:54:33.370000+00:00
5.0.7	2019-07-16T18:53:32.554000+00:00
6.0.0-beta.14	2019-07-17T19:53:53.229000+00:00
4.2.8	2019-07-20T00:45:21.678000+00:00
6.0.0-beta.15	2019-07-20T01:17:20.034000+00:00
5.0.8	2019-07-23T23:53:51.009000+00:00
6.0.0	2019-07-29T21:12:46.410000+00:00
3.1.13	2019-07-31T17:48:34.731000+00:00
7.0.0-beta.1	2019-08-01T07:57:53.620000+00:00
4.2.9	2019-08-06T00:18:19.193000+00:00
5.0.9	2019-08-06T23:57:02.465000+00:00
6.0.1	2019-08-07T00:28:24.200000+00:00
7.0.0-beta.2	2019-08-07T22:28:51.903000+00:00
6.0.2	2019-08-12T23:56:41.774000+00:00
7.0.0-beta.3	2019-08-15T04:43:21.374000+00:00
5.0.10	2019-08-20T00:37:09.497000+00:00
6.0.3	2019-08-20T02:05:03.758000+00:00
6.0.4	2019-08-24T00:01:37.390000+00:00
6.0.5	2019-08-27T21:29:59.925000+00:00
4.2.10	2019-08-29T20:44:09.994000+00:00
6.0.6	2019-08-30T06:32:56.369000+00:00
6.0.7	2019-08-31T05:43:57.252000+00:00
7.0.0-beta.4	2019-09-03T17:40:37.606000+00:00
6.0.8	2019-09-09T19:24:11.430000+00:00
6.0.9	2019-09-12T13:31:29.405000+00:00
